,i3-gaps,"the best window manager ever!"
,rofi,"launcher"
,stow,"helps manage dotfiles"
,fish ,"interactive shell with built in autocomplete and syntax highlighting"
,man-db,"Googles man man :P"
,neovim,"editor of choice."
,firefox,"because there is no good alternative."
,firefox-ublock-origin,"being safe out there"
A,polybar,"Kowalski - Status Report!"
A,nerd-fonts-iosevka,"neatest font ever. Saves valuable screen space too!"
,alacritty,"gotta go fast!!"
,picom,"blur level 9999"
,nitrogen,"wallpaper setter"
,zathura-pdf-mupdf,"pdf viewer with vi-like keybinds"
,imagemagick,"need image tools for steganography challs in ctfs"
,sxiv,"image viewer"
,openvpn,"for connecting to htb and tryhackme"
,xorg-xrdb,"update Xresources"
,metasploit,"dem payloads tho"
